J,X,Z,Z_var
1.2,0.31099273681640627,0.8703411313111145,0.47638952447610927
1.3,0.28227911376953124,0.8947976223452424,0.3587726985608216
1.4,0.25799920654296876,0.9126797421013808,0.28274578369464143
1.5,0.23883319091796876,0.9258657558769907,0.24071007235080463
1.6,0.2207567138671875,0.9368021026701446,0.1910057866297291
1.7,0.2067818603515625,0.9458243276152409,0.15077001511782734
1.8,0.19387506103515625,0.9528916111630198,0.129898590187372
1.9,0.1833428955078125,0.9584872825373664,0.11084067076564066
2.0,0.174414794921875,0.9635058953705318,0.09459824338351795
