J,X,Z,Z_var,Number of simulations,"X_dmrg,ref","Z_dmrg,ref"
1.2,0.310992737,0.870341131,0.476389524,16000,0.310524709,0.862710828
1.3,0.282279114,0.894797622,0.358772699,16000,0.279750432,0.887389773
1.4,0.257999207,0.912679742,0.282745784,16000,0.255670264,0.905258779
1.5,0.238833191,0.925865756,0.240710072,16000,0.235907055,0.918908249
1.6,0.220756714,0.936802103,0.191005787,16000,0.219250142,0.929667666
1.7,0.20678186,0.945824328,0.150770015,16000,0.204953373,0.938341387
1.8,0.193875061,0.952891611,0.12989859,16000,0.192512461,0.945456923
1.9,0.183342896,0.958487283,0.110840671,16000,0.18156711,0.951378055
2,0.174414795,0.963505895,0.094598243,16000,0.171849881,0.95636479
