J,X,Z,Z_var
0.9,0.8342833251953125,0.3525023060813977,2.3969755236147363
0.91,0.8284370727539062,0.357920353603209,2.399974532543385
0.92,0.818525390625,0.36958153789249887,2.4552465331066977
0.93,0.8164033813476562,0.37222840090198894,2.3660241340311923
0.94,0.8133264770507812,0.37725622634234984,2.424408248441597
0.95,0.7318005981445312,0.4594225378203134,2.169631184154026
0.96,0.75614990234375,0.4366066906710445,2.227092920140506
0.97,0.765632080078125,0.42630098470249717,2.228062050371546
0.98,0.6817380981445312,0.5121776583290987,1.9118625207793303
0.99,0.6624308471679687,0.5311458323236912,1.8917429454050507
1.0,0.68814453125,0.5053706271225801,2.0171380866606503
1.01,0.5050901489257813,0.6887977635806949,1.2392399466439388
1.02,0.4514559326171875,0.7422957764440168,1.05578417538084
1.03,0.4344031372070313,0.7581666659010774,0.9695525608273832
1.04,0.573662353515625,0.618911518865336,1.619467859153466
1.05,0.40989654541015624,0.7812557170505562,0.8836768924501914
1.06,0.40523016357421876,0.7849324860940781,0.8814539924060342
1.07,0.38815283203125,0.8018634808599514,0.8097721998684072
1.08,0.3713194580078125,0.8177833935359821,0.7151384392294671
1.09,0.364466552734375,0.8245491953397376,0.6924665692267689
1.1,0.35797308349609375,0.8301845348875523,0.6359780942300267
